path,title,extracted_at,non_page_by_convention,word_count,heading_count,heading_max_depth,code_fence_count,code_block_density,internal_link_count,todo_flag,days_since_update,days_since_update_raw,age_days,median_line_age_days,last_update_commit_msg,commit_count,author_count,flesch_reading_ease,words_per_heading,staleness_to_age_ratio
website/docs/api/plugins/plugin-vercel-analytics.mdx,📦 plugin-vercel-analytics,2026-08-17T15:06:15.936883+00:00,False,122,4,3,4,32.79,0,False,915,163,915,915,docs: typo (#9845),2,1,,30.5,1.0
website/docs/api/themes/overview.mdx,Docusaurus themes,2026-08-17T15:06:15.936883+00:00,False,99,3,2,0,0.0,6,False,1067,163,2086,1767,"fix(theme): make warning a first-class admonition, and deprecate caution admonition (#9308)",6,3,43.62,33.0,0.51
website/docs/api/themes/theme-classic.mdx,📦 theme-classic,2026-08-17T15:06:15.936883+00:00,False,124,3,3,4,32.26,3,False,1038,163,2086,1498,feat(core): support TypeScript + ESM configuration (#9317),7,3,50.38,41.33,0.5
website/docs/api/themes/theme-configuration.mdx,Theme configuration,2026-08-17T15:06:15.936883+00:00,False,3745,34,4,79,21.09,11,False,38,38,2483,1767,docs: fix versionPersistence default value in theme config table (#12258),85,28,38.95,110.15,0.02
website/docs/api/themes/theme-live-codeblock.mdx,📦 theme-live-codeblock,2026-08-17T15:06:15.936883+00:00,False,25,2,3,2,80.0,1,False,564,163,2086,1991,docs(theme-live-codeblock): update theme-live-codeblock.mdx to include link to react-live (#10874),9,6,,12.5,0.27
website/docs/api/themes/theme-mermaid.mdx,📦 theme-mermaid,2026-08-17T15:06:15.936883+00:00,False,23,2,2,2,86.96,1,False,1038,163,1349,1349,feat(core): support TypeScript + ESM configuration (#9317),2,2,,11.5,0.77
website/docs/api/themes/theme-search-algolia.mdx,📦 theme-search-algolia,2026-08-17T15:06:15.936883+00:00,False,77,1,1,1,12.99,1,False,1326,1326,2086,1809,docs(website): use .mdx extension for every docs (#8490),6,3,65.11,77.0,0.64
website/docs/blog.mdx,Welcome Docusaurus,2026-08-17T15:06:15.936883+00:00,False,1439,16,3,42,29.19,10,False,328,163,2667,1761,feat(blog): Add support for email social icon + resize default social icon a bit (#11425),74,27,56.83,89.94,0.12
website/docs/browser-support.mdx,Browser support,2026-08-17T15:06:15.936883+00:00,False,322,4,2,5,15.53,0,False,1067,102,1924,1767,"fix(theme): make warning a first-class admonition, and deprecate caution admonition (#9308)",9,3,48.45,80.5,0.55
website/docs/cli.mdx,CLI,2026-08-17T15:06:15.936883+00:00,False,1244,15,4,5,4.02,6,False,66,66,2667,2035,docs(website): split Deployment page into a category with hosting provider subpages + cleanup providers (#12139),65,32,60.83,82.93,0.02
